1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
62.png	smiling face with sunglasses	😎️	\U0001F60E\U0000FE0F	U+1F60E	smiling face with sunglasses
63.png	nerd face	🤓️	\U0001F913\U0000FE0F	U+1F913	nerd face
64.png	face with monocle	🧐️	\U0001F9D0\U0000FE0F	U+1F9D0	face with monocle
65.png	confused face	😕️	\U0001F615\U0000FE0F	U+1F615	confused face
66.png	worried face	😟️	\U0001F61F\U0000FE0F	U+1F61F	worried face
67.png	slightly frowning face	🙁️	\U0001F641\U0000FE0F	U+1F641	slightly frowning face
68.png	frowning face	☹️	\U00002639\U0000FE0F	U+2639	frowning face
69.png	face with open mouth	😮️	\U0001F62E\U0000FE0F	U+1F62E	face with open mouth
70.png	hushed face	😯️	\U0001F62F\U0000FE0F	U+1F62F	hushed face
71.png	astonished face	😲️	\U0001F632\U0000FE0F	U+1F632	astonished face
72.png	flushed face	😳️	\U0001F633\U0000FE0F	U+1F633	flushed face
73.png	pleading face	🥺️	\U0001F97A\U0000FE0F	U+1F97A	pleading face
74.png	frowning face with open mouth	😦️	\U0001F626\U0000FE0F	U+1F626	frowning face with open mouth
75.png	anguished face	😧️	\U0001F627\U0000FE0F	U+1F627	anguished face
76.png	fearful face	😨️	\U0001F628\U0000FE0F	U+1F628	fearful face
77.png	anxious face with sweat	😰️	\U0001F630\U0000FE0F	U+1F630	anxious face with sweat
78.png	sad but relieved face	😥️	\U0001F625\U0000FE0F	U+1F625	sad but relieved face
79.png	crying face	😢️	\U0001F622\U0000FE0F	U+1F622	crying face
80.png	loudly crying face	😭️	\U0001F62D\U0000FE0F	U+1F62D	loudly crying face
81.png	face screaming in fear	😱️	\U0001F631\U0000FE0F	U+1F631	face screaming in fear
82.png	confounded face	😖️	\U0001F616\U0000FE0F	U+1F616	confounded face
83.png	persevering face	😣️	\U0001F623\U0000FE0F	U+1F623	persevering face
84.png	disappointed face	😞️	\U0001F61E\U0000FE0F	U+1F61E	disappointed face
85.png	downcast face with sweat	😓️	\U0001F613\U0000FE0F	U+1F613	downcast face with sweat
86.png	weary face	😩️	\U0001F629\U0000FE0F	U+1F629	weary face
87.png	tired face	😫️	\U0001F62B\U0000FE0F	U+1F62B	tired face
88.png	yawning face	🥱️	\U0001F971\U0000FE0F	U+1F971	yawning face
89.png	face with steam from nose	😤️	\U0001F624\U0000FE0F	U+1F624	face with steam from nose
90.png	pouting face	😡️	\U0001F621\U0000FE0F	U+1F621	pouting face
91.png	angry face	😠️	\U0001F620\U0000FE0F	U+1F620	angry face
92.png	face with symbols on mouth	🤬️	\U0001F92C\U0000FE0F	U+1F92C	face with symbols on mouth
93.png	smiling face with horns	😈️	\U0001F608\U0000FE0F	U+1F608	smiling face with horns
94.png	angry face with horns	👿️	\U0001F47F\U0000FE0F	U+1F47F	angry face with horns
95.png	skull	💀️	\U0001F480\U0000FE0F	U+1F480	skull
96.png	skull and crossbones	☠️	\U00002620\U0000FE0F	U+2620	skull and crossbones
97.png	pile of poo	💩️	\U0001F4A9\U0000FE0F	U+1F4A9	pile of poo
98.png	clown face	🤡️	\U0001F921\U0000FE0F	U+1F921	clown face
99.png	ogre	👹️	\U0001F479\U0000FE0F	U+1F479	ogre
100.png	goblin	👺️	\U0001F47A\U0000FE0F	U+1F47A	goblin
101.png	ghost	👻️	\U0001F47B\U0000FE0F	U+1F47B	ghost
102.png	alien	👽️	\U0001F47D\U0000FE0F	U+1F47D	alien
103.png	alien monster	👾️	\U0001F47E\U0000FE0F	U+1F47E	alien monster
104.png	robot	🤖️	\U0001F916\U0000FE0F	U+1F916	robot
105.png	grinning cat	😺️	\U0001F63A\U0000FE0F	U+1F63A	grinning cat
106.png	grinning cat with smiling eyes	😸️	\U0001F638\U0000FE0F	U+1F638	grinning cat with smiling eyes
107.png	cat with tears of joy	😹️	\U0001F639\U0000FE0F	U+1F639	cat with tears of joy
108.png	smiling cat with heart-eyes	😻️	\U0001F63B\U0000FE0F	U+1F63B	smiling cat with heart-eyes
109.png	cat with wry smile	😼️	\U0001F63C\U0000FE0F	U+1F63C	cat with wry smile
110.png	kissing cat	😽️	\U0001F63D\U0000FE0F	U+1F63D	kissing cat
111.png	weary cat	🙀️	\U0001F640\U0000FE0F	U+1F640	weary cat
112.png	crying cat	😿️	\U0001F63F\U0000FE0F	U+1F63F	crying cat
113.png	pouting cat	😾️	\U0001F63E\U0000FE0F	U+1F63E	pouting cat
114.png	see-no-evil monkey	🙈️	\U0001F648\U0000FE0F	U+1F648	see-no-evil monkey
115.png	hear-no-evil monkey	🙉️	\U0001F649\U0000FE0F	U+1F649	hear-no-evil monkey
116.png	laptop	💻️	\U0001F4BB\U0000FE0F	U+1F4BB	laptop
117.png	desktop computer	🖥️	\U0001F5A5\U0000FE0F	U+1F5A5	desktop computer
118.png	printer	🖨️	\U0001F5A8\U0000FE0F	U+1F5A8	printer
119.png	keyboard	⌨️	\U00002328\U0000FE0F	U+2328	keyboard
120.png	computer mouse	🖱️	\U0001F5B1\U0000FE0F	U+1F5B1	computer mouse
121.png	trackball	🖲️	\U0001F5B2\U0000FE0F	U+1F5B2	trackball
122.png	computer disk	💽️	\U0001F4BD\U0000FE0F	U+1F4BD	computer disk
123.png	floppy disk	💾️	\U0001F4BE\U0000FE0F	U+1F4BE	floppy disk
124.png	optical disk	💿️	\U0001F4BF\U0000FE0F	U+1F4BF	optical disk
125.png	dvd	📀️	\U0001F4C0\U0000FE0F	U+1F4C0	dvd
126.png	abacus	🧮️	\U0001F9EE\U0000FE0F	U+1F9EE	abacus
127.png	movie camera	🎥️	\U0001F3A5\U0000FE0F	U+1F3A5	movie camera
128.png	film frames	🎞️	\U0001F39E\U0000FE0F	U+1F39E	film frames
129.png	film projector	📽️	\U0001F4FD\U0000FE0F	U+1F4FD	film projector
130.png	clapper board	🎬️	\U0001F3AC\U0000FE0F	U+1F3AC	clapper board
131.png	television	📺️	\U0001F4FA\U0000FE0F	U+1F4FA	television
132.png	camera	📷️	\U0001F4F7\U0000FE0F	U+1F4F7	camera
133.png	camera with flash	📸️	\U0001F4F8\U0000FE0F	U+1F4F8	camera with flash
134.png	video camera	📹️	\U0001F4F9\U0000FE0F	U+1F4F9	video camera
135.png	videocassette	📼️	\U0001F4FC\U0000FE0F	U+1F4FC	videocassette
136.png	magnifying glass tilted left	🔍️	\U0001F50D\U0000FE0F	U+1F50D	magnifying glass tilted left
137.png	magnifying glass tilted right	🔎️	\U0001F50E\U0000FE0F	U+1F50E	magnifying glass tilted right
138.png	candle	🕯️	\U0001F56F\U0000FE0F	U+1F56F	candle
139.png	light bulb	💡️	\U0001F4A1\U0000FE0F	U+1F4A1	light bulb
140.png	flashlight	🔦️	\U0001F526\U0000FE0F	U+1F526	flashlight
141.png	red paper lantern	🏮️	\U0001F3EE\U0000FE0F	U+1F3EE	red paper lantern
142.png	diya lamp	🪔️	\U0001FA94\U0000FE0F	U+1FA94	diya lamp
143.png	notebook with decorative cover	📔️	\U0001F4D4\U0000FE0F	U+1F4D4	notebook with decorative cover
144.png	closed book	📕️	\U0001F4D5\U0000FE0F	U+1F4D5	closed book
145.png	open book	📖️	\U0001F4D6\U0000FE0F	U+1F4D6	open book
146.png	green book	📗️	\U0001F4D7\U0000FE0F	U+1F4D7	green book
147.png	blue book	📘️	\U0001F4D8\U0000FE0F	U+1F4D8	blue book
148.png	orange book	📙️	\U0001F4D9\U0000FE0F	U+1F4D9	orange book
149.png	books	📚️	\U0001F4DA\U0000FE0F	U+1F4DA	books
150.png	notebook	📓️	\U0001F4D3\U0000FE0F	U+1F4D3	notebook
151.png	ledger	📒️	\U0001F4D2\U0000FE0F	U+1F4D2	ledger
152.png	page with curl	📃️	\U0001F4C3\U0000FE0F	U+1F4C3	page with curl
153.png	scroll	📜️	\U0001F4DC\U0000FE0F	U+1F4DC	scroll
154.png	page facing up	📄️	\U0001F4C4\U0000FE0F	U+1F4C4	page facing up
155.png	newspaper	📰️	\U0001F4F0\U0000FE0F	U+1F4F0	newspaper
156.png	rolled-up newspaper	🗞️	\U0001F5DE\U0000FE0F	U+1F5DE	rolled-up newspaper
157.png	bookmark tabs	📑️	\U0001F4D1\U0000FE0F	U+1F4D1	bookmark tabs
158.png	bookmark	🔖️	\U0001F516\U0000FE0F	U+1F516	bookmark
159.png	label	🏷️	\U0001F3F7\U0000FE0F	U+1F3F7	label
160.png	money bag	💰️	\U0001F4B0\U0000FE0F	U+1F4B0	money bag
161.png	coin	🪙️	\U0001FA99\U0000FE0F	U+1FA99	coin
162.png	yen banknote	💴️	\U0001F4B4\U0000FE0F	U+1F4B4	yen banknote
163.png	dollar banknote	💵️	\U0001F4B5\U0000FE0F	U+1F4B5	dollar banknote
164.png	euro banknote	💶️	\U0001F4B6\U0000FE0F	U+1F4B6	euro banknote
165.png	pound banknote	💷️	\U0001F4B7\U0000FE0F	U+1F4B7	pound banknote
166.png	money with wings	💸️	\U0001F4B8\U0000FE0F	U+1F4B8	money with wings
167.png	credit card	💳️	\U0001F4B3\U0000FE0F	U+1F4B3	credit card
168.png	receipt	🧾️	\U0001F9FE\U0000FE0F	U+1F9FE	receipt
169.png	chart increasing with yen	💹️	\U0001F4B9\U0000FE0F	U+1F4B9	chart increasing with yen
170.png	envelope	✉️	\U00002709\U0000FE0F	U+2709	envelope
171.png	e-mail	📧️	\U0001F4E7\U0000FE0F	U+1F4E7	e-mail
172.png	incoming envelope	📨️	\U0001F4E8\U0000FE0F	U+1F4E8	incoming envelope
173.png	envelope with arrow	📩️	\U0001F4E9\U0000FE0F	U+1F4E9	envelope with arrow
174.png	outbox tray	📤️	\U0001F4E4\U0000FE0F	U+1F4E4	outbox tray
175.png	inbox tray	📥️	\U0001F4E5\U0000FE0F	U+1F4E5	inbox tray
176.png	package	📦️	\U0001F4E6\U0000FE0F	U+1F4E6	package
177.png	closed mailbox with raised flag	📫️	\U0001F4EB\U0000FE0F	U+1F4EB	closed mailbox with raised flag
178.png	closed mailbox with lowered flag	📪️	\U0001F4EA\U0000FE0F	U+1F4EA	closed mailbox with lowered flag
179.png	open mailbox with raised flag	📬️	\U0001F4EC\U0000FE0F	U+1F4EC	open mailbox with raised flag
180.png	open mailbox with lowered flag	📭️	\U0001F4ED\U0000FE0F	U+1F4ED	open mailbox with lowered flag
181.png	postbox	📮️	\U0001F4EE\U0000FE0F	U+1F4EE	postbox
182.png	ballot box with ballot	🗳️	\U0001F5F3\U0000FE0F	U+1F5F3	ballot box with ballot
183.png	pencil	✏️	\U0000270F\U0000FE0F	U+270F	pencil
184.png	black nib	✒️	\U00002712\U0000FE0F	U+2712	black nib
185.png	fountain pen	🖋️	\U0001F58B\U0000FE0F	U+1F58B	fountain pen
186.png	pen	🖊️	\U0001F58A\U0000FE0F	U+1F58A	pen
187.png	paintbrush	🖌️	\U0001F58C\U0000FE0F	U+1F58C	paintbrush
188.png	crayon	🖍️	\U0001F58D\U0000FE0F	U+1F58D	crayon
189.png	memo	📝️	\U0001F4DD\U0000FE0F	U+1F4DD	memo
190.png	briefcase	💼️	\U0001F4BC\U0000FE0F	U+1F4BC	briefcase
191.png	file folder	📁️	\U0001F4C1\U0000FE0F	U+1F4C1	file folder
192.png	open file folder	📂️	\U0001F4C2\U0000FE0F	U+1F4C2	open file folder
193.png	card index dividers	🗂️	\U0001F5C2\U0000FE0F	U+1F5C2	card index dividers
194.png	calendar	📅️	\U0001F4C5\U0000FE0F	U+1F4C5	calendar
195.png	tear-off calendar	📆️	\U0001F4C6\U0000FE0F	U+1F4C6	tear-off calendar
196.png	spiral notepad	🗒️	\U0001F5D2\U0000FE0F	U+1F5D2	spiral notepad
197.png	spiral calendar	🗓️	\U0001F5D3\U0000FE0F	U+1F5D3	spiral calendar
198.png	card index	📇️	\U0001F4C7\U0000FE0F	U+1F4C7	card index
199.png	chart increasing	📈️	\U0001F4C8\U0000FE0F	U+1F4C8	chart increasing
200.png	chart decreasing	📉️	\U0001F4C9\U0000FE0F	U+1F4C9	chart decreasing
201.png	bar chart	📊️	\U0001F4CA\U0000FE0F	U+1F4CA	bar chart
202.png	clipboard	📋️	\U0001F4CB\U0000FE0F	U+1F4CB	clipboard
203.png	pushpin	📌️	\U0001F4CC\U0000FE0F	U+1F4CC	pushpin
204.png	round pushpin	📍️	\U0001F4CD\U0000FE0F	U+1F4CD	round pushpin
205.png	paperclip	📎️	\U0001F4CE\U0000FE0F	U+1F4CE	paperclip
206.png	linked paperclips	🖇️	\U0001F587\U0000FE0F	U+1F587	linked paperclips
207.png	straight ruler	📏️	\U0001F4CF\U0000FE0F	U+1F4CF	straight ruler
208.png	triangular ruler	📐️	\U0001F4D0\U0000FE0F	U+1F4D0	triangular ruler
209.png	scissors	✂️	\U00002702\U0000FE0F	U+2702	scissors
210.png	card file box	🗃️	\U0001F5C3\U0000FE0F	U+1F5C3	card file box
211.png	file cabinet	🗄️	\U0001F5C4\U0000FE0F	U+1F5C4	file cabinet
212.png	wastebasket	🗑️	\U0001F5D1\U0000FE0F	U+1F5D1	wastebasket
213.png	locked	🔒️	\U0001F512\U0000FE0F	U+1F512	locked
214.png	unlocked	🔓️	\U0001F513\U0000FE0F	U+1F513	unlocked
215.png	locked with pen	🔏️	\U0001F50F\U0000FE0F	U+1F50F	locked with pen
216.png	locked with key	🔐️	\U0001F510\U0000FE0F	U+1F510	locked with key
217.png	key	🔑️	\U0001F511\U0000FE0F	U+1F511	key
218.png	old key	🗝️	\U0001F5DD\U0000FE0F	U+1F5DD	old key
219.png	hammer	🔨️	\U0001F528\U0000FE0F	U+1F528	hammer
220.png	axe	🪓️	\U0001FA93\U0000FE0F	U+1FA93	axe
221.png	pick	⛏️	\U000026CF\U0000FE0F	U+26CF	pick
222.png	hammer and pick	⚒️	\U00002692\U0000FE0F	U+2692	hammer and pick
223.png	hammer and wrench	🛠️	\U0001F6E0\U0000FE0F	U+1F6E0	hammer and wrench
224.png	dagger	🗡️	\U0001F5E1\U0000FE0F	U+1F5E1	dagger
225.png	crossed swords	⚔️	\U00002694\U0000FE0F	U+2694	crossed swords
226.png	water pistol	🔫️	\U0001F52B\U0000FE0F	U+1F52B	water pistol
227.png	boomerang	🪃️	\U0001FA83\U0000FE0F	U+1FA83	boomerang
228.png	bow and arrow	🏹️	\U0001F3F9\U0000FE0F	U+1F3F9	bow and arrow
229.png	shield	🛡️	\U0001F6E1\U0000FE0F	U+1F6E1	shield
230.png	carpentry saw	🪚️	\U0001FA9A\U0000FE0F	U+1FA9A	carpentry saw
231.png	wrench	🔧️	\U0001F527\U0000FE0F	U+1F527	wrench
232.png	screwdriver	🪛️	\U0001FA9B\U0000FE0F	U+1FA9B	screwdriver
233.png	nut and bolt	🔩️	\U0001F529\U0000FE0F	U+1F529	nut and bolt
234.png	gear	⚙️	\U00002699\U0000FE0F	U+2699	gear
235.png	clamp	🗜️	\U0001F5DC\U0000FE0F	U+1F5DC	clamp
236.png	balance scale	⚖️	\U00002696\U0000FE0F	U+2696	balance scale
237.png	white cane	🦯️	\U0001F9AF\U0000FE0F	U+1F9AF	white cane
238.png	link	🔗️	\U0001F517\U0000FE0F	U+1F517	link
239.png	chains	⛓️	\U000026D3\U0000FE0F	U+26D3	chains
240.png	hook	🪝️	\U0001FA9D\U0000FE0F	U+1FA9D	hook
241.png	toolbox	🧰️	\U0001F9F0\U0000FE0F	U+1F9F0	toolbox
242.png	magnet	🧲️	\U0001F9F2\U0000FE0F	U+1F9F2	magnet
243.png	ladder	🪜️	\U0001FA9C\U0000FE0F	U+1FA9C	ladder
244.png	alembic	⚗️	\U00002697\U0000FE0F	U+2697	alembic
245.png	test tube	🧪️	\U0001F9EA\U0000FE0F	U+1F9EA	test tube
246.png	petri dish	🧫️	\U0001F9EB\U0000FE0F	U+1F9EB	petri dish
247.png	dna	🧬️	\U0001F9EC\U0000FE0F	U+1F9EC	dna
248.png	microscope	🔬️	\U0001F52C\U0000FE0F	U+1F52C	microscope
249.png	telescope	🔭️	\U0001F52D\U0000FE0F	U+1F52D	telescope
250.png	satellite antenna	📡️	\U0001F4E1\U0000FE0F	U+1F4E1	satellite antenna
251.png	syringe	💉️	\U0001F489\U0000FE0F	U+1F489	syringe
252.png	drop of blood	🩸️	\U0001FA78\U0000FE0F	U+1FA78	drop of blood
253.png	pill	💊️	\U0001F48A\U0000FE0F	U+1F48A	pill
254.png	adhesive bandage	🩹️	\U0001FA79\U0000FE0F	U+1FA79	adhesive bandage
255.png	stethoscope	🩺️	\U0001FA7A\U0000FE0F	U+1FA7A	stethoscope
256.png	door	🚪️	\U0001F6AA\U0000FE0F	U+1F6AA	door
257.png	elevator	🛗️	\U0001F6D7\U0000FE0F	U+1F6D7	elevator
258.png	mirror	🪞️	\U0001FA9E\U0000FE0F	U+1FA9E	mirror
259.png	window	🪟️	\U0001FA9F\U0000FE0F	U+1FA9F	window
260.png	bed	🛏️	\U0001F6CF\U0000FE0F	U+1F6CF	bed
261.png	couch and lamp	🛋️	\U0001F6CB\U0000FE0F	U+1F6CB	couch and lamp
262.png	chair	🪑️	\U0001FA91\U0000FE0F	U+1FA91	chair
263.png	toilet	🚽️	\U0001F6BD\U0000FE0F	U+1F6BD	toilet
264.png	plunger	🪠️	\U0001FAA0\U0000FE0F	U+1FAA0	plunger
265.png	shower	🚿️	\U0001F6BF\U0000FE0F	U+1F6BF	shower
266.png	bathtub	🛁️	\U0001F6C1\U0000FE0F	U+1F6C1	bathtub
267.png	mouse trap	🪤️	\U0001FAA4\U0000FE0F	U+1FAA4	mouse trap
268.png	razor	🪒️	\U0001FA92\U0000FE0F	U+1FA92	razor
269.png	lotion bottle	🧴️	\U0001F9F4\U0000FE0F	U+1F9F4	lotion bottle
270.png	safety pin	🧷️	\U0001F9F7\U0000FE0F	U+1F9F7	safety pin
271.png	broom	🧹️	\U0001F9F9\U0000FE0F	U+1F9F9	broom
272.png	basket	🧺️	\U0001F9FA\U0000FE0F	U+1F9FA	basket
273.png	roll of paper	🧻️	\U0001F9FB\U0000FE0F	U+1F9FB	roll of paper
274.png	bucket	🪣️	\U0001FAA3\U0000FE0F	U+1FAA3	bucket
275.png	soap	🧼️	\U0001F9FC\U0000FE0F	U+1F9FC	soap
276.png	toothbrush	🪥️	\U0001FAA5\U0000FE0F	U+1FAA5	toothbrush
277.png	sponge	🧽️	\U0001F9FD\U0000FE0F	U+1F9FD	sponge
278.png	fire extinguisher	🧯️	\U0001F9EF\U0000FE0F	U+1F9EF	fire extinguisher
279.png	shopping cart	🛒️	\U0001F6D2\U0000FE0F	U+1F6D2	shopping cart
280.png	cigarette	🚬️	\U0001F6AC\U0000FE0F	U+1F6AC	cigarette
281.png	coffin	⚰️	\U000026B0\U0000FE0F	U+26B0	coffin
282.png	headstone	🪦️	\U0001FAA6\U0000FE0F	U+1FAA6	headstone
283.png	funeral urn	⚱️	\U000026B1\U0000FE0F	U+26B1	funeral urn
284.png	moai	🗿️	\U0001F5FF\U0000FE0F	U+1F5FF	moai
285.png	placard	🪧️	\U0001FAA7\U0000FE0F	U+1FAA7	placard
286.png	ATM sign	🏧️	\U0001F3E7\U0000FE0F	U+1F3E7	ATM sign
287.png	litter in bin sign	🚮️	\U0001F6AE\U0000FE0F	U+1F6AE	litter in bin sign
288.png	potable water	🚰️	\U0001F6B0\U0000FE0F	U+1F6B0	potable water
289.png	wheelchair symbol	♿️	\U0000267F\U0000FE0F	U+267F	wheelchair symbol
290.png	men’s room	🚹️	\U0001F6B9\U0000FE0F	U+1F6B9	men’s room
291.png	women’s room	🚺️	\U0001F6BA\U0000FE0F	U+1F6BA	women’s room
292.png	restroom	🚻️	\U0001F6BB\U0000FE0F	U+1F6BB	restroom
293.png	baby symbol	🚼️	\U0001F6BC\U0000FE0F	U+1F6BC	baby symbol
294.png	water closet	🚾️	\U0001F6BE\U0000FE0F	U+1F6BE	water closet
295.png	passport control	🛂️	\U0001F6C2\U0000FE0F	U+1F6C2	passport control
296.png	customs	🛃️	\U0001F6C3\U0000FE0F	U+1F6C3	customs
297.png	baggage claim	🛄️	\U0001F6C4\U0000FE0F	U+1F6C4	baggage claim
298.png	left luggage	🛅️	\U0001F6C5\U0000FE0F	U+1F6C5	left luggage
299.png	warning	⚠️	\U000026A0\U0000FE0F	U+26A0	warning
300.png	children crossing	🚸️	\U0001F6B8\U0000FE0F	U+1F6B8	children crossing
301.png	no entry	⛔️	\U000026D4\U0000FE0F	U+26D4	no entry
302.png	prohibited	🚫️	\U0001F6AB\U0000FE0F	U+1F6AB	prohibited
303.png	no bicycles	🚳️	\U0001F6B3\U0000FE0F	U+1F6B3	no bicycles
304.png	no smoking	🚭️	\U0001F6AD\U0000FE0F	U+1F6AD	no smoking
305.png	no littering	🚯️	\U0001F6AF\U0000FE0F	U+1F6AF	no littering
306.png	non-potable water	🚱️	\U0001F6B1\U0000FE0F	U+1F6B1	non-potable water
307.png	no pedestrians	🚷️	\U0001F6B7\U0000FE0F	U+1F6B7	no pedestrians
308.png	no mobile phones	📵️	\U0001F4F5\U0000FE0F	U+1F4F5	no mobile phones
309.png	no one under eighteen	🔞️	\U0001F51E\U0000FE0F	U+1F51E	no one under eighteen
310.png	radioactive	☢️	\U00002622\U0000FE0F	U+2622	radioactive
311.png	biohazard	☣️	\U00002623\U0000FE0F	U+2623	biohazard
312.png	up arrow	⬆️	\U00002B06\U0000FE0F	U+2B06	up arrow
313.png	up-right arrow	↗️	\U00002197\U0000FE0F	U+2197	up-right arrow
314.png	right arrow	➡️	\U000027A1\U0000FE0F	U+27A1	right arrow
315.png	down-right arrow	↘️	\U00002198\U0000FE0F	U+2198	down-right arrow
316.png	down arrow	⬇️	\U00002B07\U0000FE0F	U+2B07	down arrow
317.png	down-left arrow	↙️	\U00002199\U0000FE0F	U+2199	down-left arrow
318.png	left arrow	⬅️	\U00002B05\U0000FE0F	U+2B05	left arrow
319.png	up-left arrow	↖️	\U00002196\U0000FE0F	U+2196	up-left arrow
320.png	up-down arrow	↕️	\U00002195\U0000FE0F	U+2195	up-down arrow
321.png	left-right arrow	↔️	\U00002194\U0000FE0F	U+2194	left-right arrow
322.png	right arrow curving left	↩️	\U000021A9\U0000FE0F	U+21A9	right arrow curving left
323.png	left arrow curving right	↪️	\U000021AA\U0000FE0F	U+21AA	left arrow curving right
324.png	right arrow curving up	⤴️	\U00002934\U0000FE0F	U+2934	right arrow curving up
